"site","sensor_number","date_time","date","time","temp_durafet_c","p_h","tide","temp_c","temp_hobo_c"
"Alegria",4,2021-06-19 19:00:00,"06/19/2021","19:00:00",16.55484877,8.069081186,5.079984,17.2222222222222,NA
"Alegria",4,2021-06-19 19:15:00,"06/19/2021","19:15:00",16.56895129,8.061860331,5.018341,17.2222222222222,NA
"Alegria",4,2021-06-19 19:30:00,"06/19/2021","19:30:00",16.57403818,8.057746513,4.928444,17.2444444444444,NA
"Alegria",4,2021-06-19 19:45:00,"06/19/2021","19:45:00",16.57042913,8.050245238,4.81171,17.2222222222222,NA
"Alegria",4,2021-06-19 20:00:00,"06/19/2021","20:00:00",16.5572698,8.044621018,4.669662,17.2,NA
"Alegria",4,2021-06-19 20:15:00,"06/19/2021","20:15:00",16.51514566,8.042164906,4.504075,17.1555555555556,NA
"Alegria",4,2021-06-19 20:30:00,"06/19/2021","20:30:00",16.47197539,8.034067279,4.31763,17.1055555555556,NA
"Alegria",4,2021-06-19 20:45:00,"06/19/2021","20:45:00",16.42344197,8.02819913,4.112534,17.0388888888889,NA
"Alegria",4,2021-06-19 21:00:00,"06/19/2021","21:00:00",16.38752486,8.023563029,3.892123,17.0277777777778,NA
"Alegria",4,2021-06-19 21:15:00,"06/19/2021","21:15:00",16.35301505,8.019579089,3.659019,16.9777777777778,NA
"Alegria",4,2021-06-19 21:30:00,"06/19/2021","21:30:00",16.3192029,8.015958222,3.41702,16.9555555555556,NA
"Alegria",4,2021-06-19 21:45:00,"06/19/2021","21:45:00",16.24525206,8.029220304,3.169,16.8555555555556,NA
"Alegria",4,2021-06-19 22:00:00,"06/19/2021","22:00:00",16.22749207,8.016117005,2.918989,16.8888888888889,NA
"Alegria",4,2021-06-19 22:15:00,"06/19/2021","22:15:00",16.15819412,8.02076934,2.66994,16.7611111111111,NA
"Alegria",4,2021-06-19 22:30:00,"06/19/2021","22:30:00",16.17043847,8.002211889,2.425868,16.7944444444444,NA
"Alegria",4,2021-06-19 22:45:00,"06/19/2021","22:45:00",16.07294866,8.01625616,2.189875,16.6944444444444,NA
"Alegria",4,2021-06-19 23:00:00,"06/19/2021","23:00:00",16.0766061,8.000174078,1.964953,16.7166666666667,NA
"Alegria",4,2021-06-19 23:15:00,"06/19/2021","23:15:00",16.042602,7.994200945,1.754646,16.6444444444444,NA
"Alegria",4,2021-06-19 23:30:00,"06/19/2021","23:30:00",16.00731279,7.989199522,1.561301,16.6333333333333,NA
"Alegria",4,2021-06-19 23:45:00,"06/19/2021","23:45:00",15.99908139,7.974671658,1.387871,16.6333333333333,NA
"Alegria",4,2021-06-20 00:00:00,"06/20/2021","00:00:00",15.99374238,7.969273331,1.236175,16.6222222222222,NA
"Alegria",4,2021-06-20 00:15:00,"06/20/2021","00:15:00",16.00007686,7.955359761,1.108395,16.6666666666667,NA
"Alegria",4,2021-06-20 00:30:00,"06/20/2021","00:30:00",16.00670276,7.948929468,1.005707,16.6722222222222,NA
"Alegria",4,2021-06-20 00:45:00,"06/20/2021","00:45:00",15.98186992,7.936480893,0.929386,16.6222222222222,NA
"Alegria",4,2021-06-20 02:00:00,"06/20/2021","02:00:00",15.9724019,7.909647223,0.946346,16.6,NA
"Alegria",4,2021-06-20 02:15:00,"06/20/2021","02:15:00",15.98671184,7.908384052,1.024012,16.6333333333333,NA
"Alegria",4,2021-06-20 02:30:00,"06/20/2021","02:30:00",15.9815769,7.906864818,1.122887,16.6222222222222,NA
"Alegria",4,2021-06-20 02:45:00,"06/20/2021","02:45:00",15.97875802,7.899153007,1.241071,16.6333333333333,NA
"Alegria",4,2021-06-20 03:00:00,"06/20/2021","03:00:00",15.98878491,7.900880567,1.376051,16.6444444444444,NA
"Alegria",4,2021-06-20 03:15:00,"06/20/2021","03:15:00",15.99856876,7.898444664,1.52516,16.6666666666667,NA
"Alegria",4,2021-06-20 03:30:00,"06/20/2021","03:30:00",15.98772951,7.907728676,1.685526,16.6333333333333,NA
"Alegria",4,2021-06-20 03:45:00,"06/20/2021","03:45:00",15.97730988,7.903586486,1.85393,16.6333333333333,NA
"Alegria",4,2021-06-20 04:00:00,"06/20/2021","04:00:00",15.96944248,7.908531338,2.027613,16.6222222222222,NA
"Alegria",4,2021-06-20 04:15:00,"06/20/2021","04:15:00",15.96200877,7.891767757,2.203203,16.6111111111111,NA
"Alegria",4,2021-06-20 04:30:00,"06/20/2021","04:30:00",15.94429843,7.899191541,2.377509,16.5777777777778,NA
"Alegria",4,2021-06-20 04:45:00,"06/20/2021","04:45:00",15.91902052,7.900624003,2.547394,16.5555555555556,NA
"Alegria",4,2021-06-20 05:00:00,"06/20/2021","05:00:00",15.90415007,7.892448112,2.70965,16.5444444444444,NA
"Alegria",4,2021-06-20 05:15:00,"06/20/2021","05:15:00",15.77440701,7.95578484,2.861767,16.3833333333333,NA
"Alegria",4,2021-06-20 05:30:00,"06/20/2021","05:30:00",15.76455975,7.94804348,3.000888,16.4055555555556,NA
"Alegria",4,2021-06-20 05:45:00,"06/20/2021","05:45:00",15.71358605,7.957983348,3.124592,16.3222222222222,NA
"Alegria",4,2021-06-20 06:00:00,"06/20/2021","06:00:00",15.66539485,7.972147596,3.230748,16.2777777777778,NA
"Alegria",4,2021-06-20 06:15:00,"06/20/2021","06:15:00",15.60743308,7.98839201,3.317462,16.2333333333333,NA
"Alegria",4,2021-06-20 06:30:00,"06/20/2021","06:30:00",15.59580359,7.976879265,3.38348,16.2111111111111,NA
"Alegria",4,2021-06-20 06:45:00,"06/20/2021","06:45:00",15.57002421,7.987007871,3.427623,16.2055555555556,NA
"Alegria",4,2021-06-20 07:00:00,"06/20/2021","07:00:00",15.58254252,7.975972093,3.449217,16.2333333333333,NA
"Alegria",4,2021-06-20 07:15:00,"06/20/2021","07:15:00",15.56740499,7.98512388,3.447912,16.2111111111111,NA
"Alegria",4,2021-06-20 07:30:00,"06/20/2021","07:30:00",15.55778029,7.999207542,3.423484,16.2333333333333,NA
"Alegria",4,2021-06-20 07:45:00,"06/20/2021","07:45:00",15.52753789,8.010333026,3.376407,16.1611111111111,NA
